N = 1, K = 1 => complexity = 1
N = 6, K = 1 => complexity = 10.6689
N = 6, K = 6 => complexity = 6
N = 11, K = 1 => complexity = 22.4553
N = 11, K = 6 => complexity = 11
N = 11, K = 11 => complexity = 11
N = 16, K = 1 => complexity = 35.2659
N = 16, K = 6 => complexity = 20.8165
N = 16, K = 11 => complexity = 16
N = 16, K = 16 => complexity = 16
N = 21, K = 1 => complexity = 48.7666
N = 21, K = 6 => complexity = 31.0195
N = 21, K = 11 => complexity = 21
N = 21, K = 16 => complexity = 21
N = 21, K = 21 => complexity = 21
N = 26, K = 1 => complexity = 62.7893
N = 26, K = 6 => complexity = 41.6536
N = 26, K = 11 => complexity = 33.8268
N = 26, K = 16 => complexity = 26
N = 26, K = 21 => complexity = 26
N = 26, K = 26 => complexity = 26
N = 31, K = 1 => complexity = 77.2322
N = 31, K = 6 => complexity = 52.6681
N = 31, K = 11 => complexity = 40.3319
N = 31, K = 16 => complexity = 31
N = 31, K = 21 => complexity = 31
N = 31, K = 26 => complexity = 31
N = 31, K = 31 => complexity = 31
N = 36, K = 1 => complexity = 92.0269
N = 36, K = 6 => complexity = 64.0134
N = 36, K = 11 => complexity = 53.1764
N = 36, K = 16 => complexity = 46.8371
N = 36, K = 21 => complexity = 36
N = 36, K = 26 => complexity = 36
N = 36, K = 31 => complexity = 36
N = 36, K = 36 => complexity = 36
N = 41, K = 1 => complexity = 107.124
N = 41, K = 6 => complexity = 72.9042
N = 41, K = 11 => complexity = 60.562
N = 41, K = 16 => complexity = 53.3422
N = 41, K = 21 => complexity = 41
N = 41, K = 26 => complexity = 41
N = 41, K = 31 => complexity = 41
N = 41, K = 36 => complexity = 41
N = 41, K = 41 => complexity = 41
N = 46, K = 1 => complexity = 122.487
N = 46, K = 6 => complexity = 84.8745
N = 46, K = 11 => complexity = 73.6948
N = 46, K = 16 => complexity = 59.8474
N = 46, K = 21 => complexity = 59.8474
N = 46, K = 26 => complexity = 46
N = 46, K = 31 => complexity = 46
N = 46, K = 36 => complexity = 46
N = 46, K = 41 => complexity = 46
N = 46, K = 46 => complexity = 46
N = 51, K = 1 => complexity = 138.086
N = 51, K = 6 => complexity = 97.0576
N = 51, K = 11 => complexity = 81.7051
N = 51, K = 16 => complexity = 75.3332
N = 51, K = 21 => complexity = 66.3525
N = 51, K = 26 => complexity = 51
N = 51, K = 31 => complexity = 51
N = 51, K = 36 => complexity = 51
N = 51, K = 41 => complexity = 51
N = 51, K = 46 => complexity = 51
N = 51, K = 51 => complexity = 51
N = 56, K = 1 => complexity = 153.899
N = 56, K = 6 => complexity = 109.438
N = 56, K = 11 => complexity = 95.1423
N = 56, K = 16 => complexity = 82.7188
N = 56, K = 21 => complexity = 72.8577
N = 56, K = 26 => complexity = 72.8577
N = 56, K = 31 => complexity = 56
N = 56, K = 36 => complexity = 56
N = 56, K = 41 => complexity = 56
N = 56, K = 46 => complexity = 56
N = 56, K = 51 => complexity = 56
N = 56, K = 56 => complexity = 56
N = 61, K = 1 => complexity = 169.905
N = 61, K = 6 => complexity = 122
N = 61, K = 11 => complexity = 103.637
N = 61, K = 16 => complexity = 90.1044
N = 61, K = 21 => complexity = 79.3628
N = 61, K = 26 => complexity = 79.3628
N = 61, K = 31 => complexity = 61
N = 61, K = 36 => complexity = 61
N = 61, K = 41 => complexity = 61
N = 61, K = 46 => complexity = 61
N = 61, K = 51 => complexity = 61
N = 61, K = 56 => complexity = 61
N = 61, K = 61 => complexity = 61
N = 66, K = 1 => complexity = 186.09
N = 66, K = 6 => complexity = 134.732
N = 66, K = 11 => complexity = 117.358
N = 66, K = 16 => complexity = 105.736
N = 66, K = 21 => complexity = 97.49
N = 66, K = 26 => complexity = 85.868
N = 66, K = 31 => complexity = 85.868
N = 66, K = 36 => complexity = 66
